run,task,target,model,repeat,sessions,errors,findings,matched_seeds,seeds,recall,extras,tokens_in,tokens_out,cache_read,duration_s,found_per_mtok
20260901-215416,code,java,kimi-k2.7-code:cloud,1,3,0,47,37,69,0.54,2,133515,64028,0,535,187.3
20260901-215745,code,typescript,kimi-k2.7-code:cloud,1,3,0,45,33,63,0.52,3,152668,42638,0,321,168.97
20260901-215956,code,csharp,kimi-k2.7-code:cloud,1,3,0,49,34,68,0.50,7,132488,52965,0,486,183.33
20260901-220328,code,cpp,kimi-k2.7-code:cloud,1,3,0,43,30,64,0.47,4,236568,33449,0,314,111.1
20260901-220537,code,python,kimi-k2.7-code:cloud,1,3,0,41,28,66,0.42,6,145042,36405,0,294,154.32
20260902-081433,code,python,claude-fable-5-1,1,3,0,70,52,66,0.79,4,5775,30895,107301,411,1418.05
20260902-083044,design,design,deepseek-v4-flash:0731-cloud,1,2,0,21,9,34,0.26,0,219793,40857,0,840,34.53
20260902-084140,code,rust,deepseek-v4-flash:0731-cloud,1,3,0,35,28,64,0.44,2,481560,53535,0,630,52.33
20260902-084625,code,java,deepseek-v4-flash:0731-cloud,1,3,0,42,33,69,0.48,4,473992,63613,0,460,61.38
20260902-084724,design,design,nemotron-3-ultra:cloud,1,2,0,29,16,34,0.47,2,266597,23195,0,1109,55.21
20260902-085032,code,typescript,deepseek-v4-flash:0731-cloud,1,3,0,54,43,63,0.68,3,465831,54439,0,506,82.65
20260902-085438,code,csharp,deepseek-v4-flash:0731-cloud,1,3,0,46,35,68,0.51,5,602604,64728,0,685,52.45
20260902-085838,code,rust,nemotron-3-ultra:cloud,1,3,0,55,39,64,0.61,5,595593,69917,0,3159,58.6
20260902-090006,code,cpp,deepseek-v4-flash:0731-cloud,1,3,0,47,32,64,0.50,4,806188,50854,0,2404,37.34
20260902-091657,code,python,deepseek-v4-flash:0731-cloud,1,3,0,55,41,66,0.62,2,404784,65310,0,540,87.22
20260902-091948,code,java,nemotron-3-ultra:cloud,1,3,0,80,47,69,0.68,7,519651,43425,0,1909,83.47
20260902-093315,code,typescript,nemotron-3-ultra:cloud,1,3,1,32,25,63,0.40,3,591601,39350,0,1712,39.62
20260902-094446,code,csharp,nemotron-3-ultra:cloud,1,3,0,69,44,68,0.65,14,456160,29519,0,1522,90.59
20260902-095440,code,cpp,nemotron-3-ultra:cloud,1,3,0,72,47,64,0.73,6,995438,37052,0,2360,45.52
20260902-101831,code,python,nemotron-3-ultra:cloud,1,3,0,66,42,66,0.64,10,636688,40595,0,2463,62.01
20260902-104054,design,design,gpt-oss:120b-cloud,1,2,0,17,9,34,0.26,1,83519,10509,0,37,95.72
20260902-104116,code,rust,gpt-oss:120b-cloud,1,3,0,43,31,64,0.48,2,2107005,46053,0,1543,14.4
20260902-104124,code,typescript,nemotron-3-ultra:cloud,2,3,0,65,43,63,0.68,5,991033,46241,0,3041,41.45
20260902-105229,code,java,gpt-oss:120b-cloud,1,3,0,62,41,69,0.59,9,1206664,55474,0,499,32.48
20260902-105552,code,typescript,gpt-oss:120b-cloud,1,3,0,44,31,63,0.49,4,1223684,45890,0,406,24.42
20260902-105845,code,csharp,gpt-oss:120b-cloud,1,3,0,65,38,68,0.56,11,954910,45732,0,390,37.98
20260902-110116,code,cpp,gpt-oss:120b-cloud,1,3,0,52,35,64,0.55,6,882257,34742,0,244,38.17
20260902-110251,code,python,gpt-oss:120b-cloud,1,3,0,38,28,66,0.42,4,965902,44031,0,256,27.72
20260902-110614,design,design,qwen3.5:397b-cloud,1,2,0,17,12,34,0.35,1,208060,5306,0,154,56.24
20260902-110746,code,rust,qwen3.5:397b-cloud,1,3,0,36,26,64,0.41,5,276509,9254,0,128,90.98
20260902-110845,code,java,qwen3.5:397b-cloud,1,3,0,43,31,69,0.45,4,321057,13346,0,166,92.7
20260902-110955,code,typescript,qwen3.5:397b-cloud,1,3,0,30,21,63,0.33,4,317465,9937,0,141,64.14
20260902-111056,code,csharp,qwen3.5:397b-cloud,1,3,0,33,26,68,0.38,6,270871,10007,0,140,92.57
20260902-111154,code,cpp,qwen3.5:397b-cloud,1,3,0,38,28,64,0.44,4,321475,10903,0,173,84.24
20260902-111307,code,python,qwen3.5:397b-cloud,1,3,0,36,25,66,0.38,7,263455,10090,0,154,91.39
20260820-120308,code,go,claude,1,3,0,76,43,56,0.77,0,5793,37857,277757,489,985.11
20260820-120643,code,go,codex,1,3,0,58,39,56,0.70,1,205196,28509,151296,599,166.88
20260820-122245,code,go,x-ai/grok-4.6,1,3,0,44,32,56,0.57,0,163175,53765,63360,909,147.51
20260820-130703,code,go,qwen/qwen3.8-27b,1,3,0,58,38,56,0.68,1,48529,85968,341603,2683,282.53
20260820-133724,code,go,qwen/qwen3.8-max,1,3,0,54,37,56,0.66,0,3492,48117,315036,1015,716.93
20260828-092452,code,go,glm-5.3-flash:cloud,1,3,0,61,40,56,0.71,0,571755,26261,0,231,66.89
20260831-155305,code,go,glm-5.3:cloud,1,3,0,58,39,56,0.70,0,585512,29423,0,284,63.42
20260901-100833,code,go,minimax-m3:cloud,1,3,1,42,24,56,0.43,1,430511,23091,0,349,52.91
20260901-105109,code,go,minimax-m3:cloud,2,3,0,70,37,56,0.66,0,761007,44616,0,752,45.93
20260901-112232,code,go,deepseek-v4-pro:cloud,1,3,0,44,29,56,0.52,0,637020,55000,0,496,41.91
20260901-132001,code,go,gemma4:31b-cloud,1,3,0,29,17,56,0.30,2,522239,18263,0,201,31.45
20260901-141043,code,go,claude-opus-5,1,3,0,69,42,56,0.75,0,5793,35873,200852,481,1008.02
20260901-141110,code,go,claude-fable-5,1,3,0,63,41,56,0.73,0,5763,36888,97047,504,961.29
20260901-162432,code,go,claude-opus-4-8,1,3,0,45,31,56,0.55,0,5789,27050,144657,406,944.0
20260901-180835,code,go,glm-5.2:cloud,1,3,0,47,33,56,0.59,0,323970,36533,0,656,91.54
20260901-212939,code,go,claude-fable-5-1,1,3,0,64,40,56,0.71,0,5787,33537,103080,455,1017.19
20260901-214700,code,go,kimi-k2.7-code:cloud,1,3,0,56,32,56,0.57,0,133132,55916,0,483,169.27
20260902-082617,code,go,deepseek-v4-flash:0731-cloud,1,3,0,45,28,56,0.50,1,590323,61049,0,735,42.99
20260902-082630,code,go,nemotron-3-ultra:cloud,1,3,0,80,32,56,0.57,10,518055,37326,0,3041,57.62
20260902-103955,code,go,gpt-oss:120b-cloud,1,3,0,47,23,56,0.41,1,717542,34400,0,158,30.59
20260902-110517,code,go,qwen3.5:397b-cloud,1,3,0,31,17,56,0.30,2,319713,9070,0,131,51.71
